s3_uri,category,processed_at
s3://algo-8-beat-optimization/brand-shop/brand_wall/BrandWall.jpg,brand_wall,2026-01-29T06:40:02.313395
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-09-23 at 4.07.42 PM (1).jpeg,brand_wall,2026-01-29T06:40:02.313408
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-10-14 at 6.52.24 PM (1).jpeg,brand_wall,2026-01-29T06:40:02.313410
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-10-19 at 8.41.28 PM (2).jpeg,brand_wall,2026-01-29T06:40:02.313412
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-10-26 at 5.01.02 PM.jpeg,brand_wall,2026-01-29T06:40:02.313414
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-11-12 at 4.00.37 PM.jpeg,brand_wall,2026-01-29T06:40:02.313415
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-12-17 at 5.20.52 PM.jpeg,brand_wall,2026-01-29T06:40:02.313417
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-12-22 at 11.53.51 AM.jpeg,brand_wall,2026-01-29T06:40:02.313420
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2025-12-28 at 4.23.10 PM (1).jpeg,brand_wall,2026-01-29T06:40:02.313422
s3://algo-8-beat-optimization/brand-shop/brand_wall/WhatsApp Image 2026-01-09 at 10.21.22 AM (1).jpeg,brand_wall,2026-01-29T06:40:02.313424
